country,year,value,indicator
United States,2024,2.79300127716779,gdp
United States,2023,2.88755600749487,gdp
United States,2022,2.51237531986017,gdp
United States,2021,6.05505293244555,gdp
United States,2020,-2.16302914036166,gdp
United States,2019,2.58382533412825,gdp
United States,2018,2.96650506901305,gdp
United States,2017,2.45762229852507,gdp
United States,2016,1.81945147788167,gdp
United States,2015,2.94555045484053,gdp
United States,2014,2.52381981363968,gdp
United States,2013,2.11783009790057,gdp
United States,2012,2.28911338669843,gdp
United States,2011,1.56440685763506,gdp
United States,2010,2.69519257744442,gdp
United States,2009,-2.57650022958367,gdp
United States,2008,0.113587249881704,gdp
United States,2007,2.00385829784946,gdp
United States,2006,2.78453963650701,gdp
United States,2005,3.48354993555606,gdp
United States,2004,3.84777169556921,gdp
United States,2003,2.79560596320081,gdp
United States,2002,1.70044732643726,gdp
United States,2001,0.955538348341605,gdp
United States,2000,4.07758575682804,gdp
United States,1999,4.78842504725272,gdp
United States,1998,4.48313335374613,gdp
United States,1997,4.44712793566428,gdp
United States,1996,3.77277269119453,gdp
United States,1995,2.6844307317787,gdp
United States,1994,4.02902272983438,gdp
United States,1993,2.75179586709815,gdp
United States,1992,3.52249717301392,gdp
United States,1991,-0.108312882368935,gdp
United States,1990,1.88596558187626,gdp
United States,1989,3.67223784383981,gdp
United States,1988,4.1769823865164,gdp
United States,1987,3.45462966856461,gdp
United States,1986,3.46265505694664,gdp
United States,1985,4.16957534699196,gdp
United States,1984,7.23645316474058,gdp
United States,1983,4.58379098362749,gdp
United States,1982,-1.80301378934359,gdp
United States,1981,2.53770126828974,gdp
United States,1980,-0.256775731395592,gdp
United States,1979,3.16598821816159,gdp
United States,1978,5.53520648243719,gdp
United States,1977,4.62418650601657,gdp
United States,1976,5.38803391770217,gdp
United States,1975,-0.205619191121627,gdp
United States,1974,-0.540550192633191,gdp
United States,1973,5.64567976314829,gdp
United States,1972,5.25550195781351,gdp
United States,1971,3.29272245005524,gdp
United States,1970,0.216606498194878,gdp
United States,1969,3.09999999999999,gdp
United States,1968,4.7999999999997,gdp
United States,1967,2.49999999999999,gdp
United States,1966,6.50000000000021,gdp
United States,1965,6.39999999999981,gdp
United States,2024,2.94952520485207,inflation
United States,2023,4.11633838374488,inflation
United States,2022,8.00279982052121,inflation
United States,2021,4.69785886363742,inflation
United States,2020,1.23358439630629,inflation
United States,2019,1.81221007526021,inflation
United States,2018,2.44258329692817,inflation
United States,2017,2.13011000365961,inflation
United States,2016,1.26158320570536,inflation
United States,2015,0.118627135552451,inflation
United States,2014,1.62222297740817,inflation
United States,2013,1.46483265562717,inflation
United States,2012,2.06933726526067,inflation
United States,2011,3.156841568622,inflation
United States,2010,1.6400434423899,inflation
United States,2009,-0.355546266299747,inflation
United States,2008,3.839100296651,inflation
United States,2007,2.85267248150138,inflation
United States,2006,3.22594410070404,inflation
United States,2005,3.3927468454955,inflation
United States,2004,2.67723669309172,inflation
United States,2003,2.27009497336115,inflation
United States,2002,1.58603162650601,inflation
United States,2001,2.82617111885407,inflation
United States,2000,3.37685727149929,inflation
United States,1999,2.18802719697358,inflation
United States,1998,1.55227909874364,inflation
United States,1997,2.33768993730735,inflation
United States,1996,2.93120419993441,inflation
United States,1995,2.80541968853662,inflation
United States,1994,2.60744159215453,inflation
United States,1993,2.95165696638559,inflation
United States,1992,3.02881967814969,inflation
United States,1991,4.23496396453849,inflation
United States,1990,5.39795643990325,inflation
United States,1989,4.82700303008944,inflation
United States,1988,4.07774110744413,inflation
United States,1987,3.6645632175169,inflation
United States,1986,1.89804772234276,inflation
United States,1985,3.54564415209365,inflation
United States,1984,4.30053547523429,inflation
United States,1983,3.21243523316065,inflation
United States,1982,6.13142700027493,inflation
United States,1981,10.3347153402771,inflation
United States,1980,13.5492019749684,inflation
United States,1979,11.2544711292795,inflation
United States,1978,7.63096383885606,inflation
United States,1977,6.5016839947284,inflation
United States,1976,5.74481263549085,inflation
United States,1975,9.14314686496535,inflation
United States,1974,11.0548048048048,inflation
United States,1973,6.17776006377038,inflation
United States,1972,3.27227824655283,inflation
United States,1971,4.29276668813051,inflation
United States,1970,5.83825533848251,inflation
United States,1969,5.46238620028745,inflation
United States,1968,4.27179615288537,inflation
United States,1967,2.77278562259309,inflation
United States,1966,3.0150753768844,inflation
United States,1965,1.58516926383662,inflation
United States,2024,4.106,unemployment
United States,2023,3.638,unemployment
United States,2022,3.65,unemployment
United States,2021,5.349,unemployment
United States,2020,8.055,unemployment
United States,2019,3.669,unemployment
United States,2018,3.896,unemployment
United States,2017,4.355,unemployment
United States,2016,4.869,unemployment
United States,2015,5.28,unemployment
United States,2014,6.168,unemployment
United States,2013,7.375,unemployment
United States,2012,8.069,unemployment
United States,2011,8.949,unemployment
United States,2010,9.633,unemployment
United States,2009,9.254,unemployment
United States,2008,5.784,unemployment
United States,2007,4.622,unemployment
United States,2006,4.623,unemployment
United States,2005,5.084,unemployment
United States,2004,5.529,unemployment
United States,2003,5.989,unemployment
United States,2002,5.783,unemployment
United States,2001,4.731,unemployment
United States,2000,3.992,unemployment
United States,1999,4.219,unemployment
United States,1998,4.511,unemployment
United States,1997,5.0,unemployment
United States,1996,5.451,unemployment
United States,1995,5.65,unemployment
United States,1994,6.119,unemployment
United States,1993,6.9,unemployment
United States,1992,7.5,unemployment
United States,1991,6.8,unemployment
China,2024,4.9773565917572,gdp
China,2023,5.41484330099675,gdp
China,2022,3.1341888719577,gdp
China,2021,8.57008513166322,gdp
China,2020,2.34018843078414,gdp
China,2019,6.06850235053705,gdp
China,2018,6.75671800166833,gdp
China,2017,6.8912663621211,gdp
China,2016,6.77555562837017,gdp
China,2015,6.97878002657477,gdp
China,2014,7.46190028229434,gdp
China,2013,7.77872409446717,gdp
China,2012,7.85617427055587,gdp
China,2011,9.4613358870736,gdp
China,2010,10.5962719761682,gdp
China,2009,9.40269972778044,gdp
China,2008,9.67024588602851,gdp
China,2007,14.1499854947127,gdp
China,2006,12.6746751655235,gdp
China,2005,11.458238455067,gdp
China,2004,10.1314073631003,gdp
China,2003,10.1181928640117,gdp
China,2002,9.24339326638321,gdp
China,2001,8.31263887091522,gdp
China,2000,8.58643201808462,gdp
China,1999,7.7370030581299,gdp
China,1998,7.92079207933551,gdp
China,1997,9.2876465280865,gdp
China,1996,9.97619992053447,gdp
China,1995,11.0328121562746,gdp
China,1994,13.0727091631599,gdp
China,1993,13.9290780143689,gdp
